仓库一般只做外观检验。	5
在仓库中，质量验收主要指物品外观检验。	5
物品验收方式：全验。	5
物品检验内容只有数量检验	5
任务目标原则、精简原则、责权利相结合原则、有效管理幅度原则、稳定性和适应性相结合原则。	7
决策层。	3
直线制组织结构形式是由多个上级直接管理多个下级的一种组织结构形式。	7
直线制组织结构形式和事业部制组织结构形式。	6
直线职能制组织结构形式是在直线制的基础上加上职能部门，这些职能结构都是某种职能的组合体。	7
事业部制组织结构形式是一种较为复杂的仓储组织结构形式，以某项职能为事业部，实行统一管理、分散经营的管理方法。	8
保管员、理货员	6
对存储物品进行保存管理的人员。	6
在仓库、配送中心等企业中，从事物品整理、拣选、配货、堆码等的人员。	4
对库存商品进行保养维护的人员。	9
是仓库内从事与物品仓储迆管理有关工作的一线操作人员的统称，包括直接从事物品收发、分拣、理货等工作的人员，含装卸工。	7
货架是指用立柱组成的例题储存物品的设施。	6
保护货物；便于存取；	5
传统式货架	5
橱架、抽屉架	5
悬臂式货架、橱柜式货架	6
按货架的封闭程度分类：敞开式货架	3
按货架的适用性分类：通用货架	5
按货架的可动性分类：固定式货架、移动式货架	4
采用叉车等装卸设备作业，是以托盘单元方式来保管货物的货架。	6
重力式货架是指在货架每层的通道上，由入库端流向出库端。	4
能够对物品进行升降和移动以及装卸作业的搬运车辆。	7
常见的堆垛机有：巷道式堆垛机。	5
叉车的分类：平衡重式叉车、前移式叉车、侧面叉车、多方向堆垛叉车、集装箱叉车。	7
悬挂单梁式和悬挂双梁式。	9
托盘是物流过程中承载货物的集装单元化工具之一。	5
轮式托盘是在箱式托盘、柱式托盘或网箱托盘的底部装上脚轮而成，便于机械化搬运和短距离的人力移动。	9
输送设备一般为连续输送设备，常见的输送设备有如下几种类型：滚筒输送机、滚轮式输送机、链条式输送机、链板输送线。	7
物品储存作业区，验收、分发作业区等。	5
库区布局是指一个仓库的各个组成部分，如库存、辅助建筑物、铁路专运线、库内道路、附属固定设备等。	8
仓库的专业化程度、仓库的功能。	7
仓库专业化程度与库存物品有关。	6
仓库平面布置的要求：仓库平面布置要有利于提高仓储经济效益；仓库平面布置要有利于保证安全和职工的健康。	6
储位划分的目的：一是为了提高仓库平面和空间利用率，另一方面是为了提高物品保管质量，方便出入库作业。	9
分区分类应考虑的因素：仓库设施条件。	3
储位划分的依据：分区分类方法。	5
仓库空间利用率的高低衡量了仓库经营管理水平。	9
仓库内部平面布局有：横列式、混合式。	7
仓库内部空间布局指储存物品在仓库立体空间上的布局，其目的在于利用仓库空间。	8
采用架上平台。	3
储位编码是指将库房、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。	8
货场货位编号。	2
储位划分的形式包括：仓库内部空间布局。	5
仓库防火防爆的具体措施：不控制可燃物；不隔绝空气；消除引火源；阻止火势蔓延；灭火器的使用	6
泡沫灭火器。	3
不在合适的作业环境和符合条件下进行作业；尽量采用机械作业；做好安全防护工作；合理安排休息时间。	6
机械安全作业要求：不在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。	7
仓储合同是储存存货人交付的仓储物，存货人支付仓储费的合同。	8
诺成合同是指合同成立。	5
仓储货品的验收问题的主要内容有：验收项目，验收方法。	7
自验收资料送达保管人之日起，至验收报告送出之日止。	7
包括：验收项目、验收期限。	7
物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、机械损坏事故几类。	9
仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。	9
仓储成本对物流成本的高低有直接影响。	5
货物的仓储成本是指货物保管的各种支出。	2
反映仓储作业消耗的指标：材料、燃料和动力消耗指标；	8
设备完好率；保管损耗率；账务差异率；收发货差错率。	8
库存物品的周转率；仓库作业效率。	3
工资利润率；成本利润率。	3
反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量。	5
仓储成本是衡量管理质量高低的重要标志。	6
固定成本	4
仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；降低机会成本和风险成本。	5
装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；利用重力作用，减少能量消耗；改进装卸搬运作业方法。	7
合理选择备货作业方式；加强货位管理，提高备货作业效率。	6
全面分拣、分组分拣。	5
使用物美价廉的包装材料；尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。	6
企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。	5
是一种保证既不出现短缺，也不积压库存的计划方法。	8
原料。	2
是一种操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；	8
业务统计、白卡管理、监控中心系统、账单查询等	4
ERP的功能模块：供应链管理、销售与市场、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、工作流服务和企业信息系统等。	5
收货；组盘和注册；	6
是介于WMS系统和PLC系统之间的管理控制系统。	8
波次运算；补货；拣选；复核包装；	6
用户数据；部门数据；货位数据；客户主数据；订单类数据；	7
条码：是由条、空及其对应代码组成，表示商品特定信息。	6
光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。	7
条码的类别 ：商品条码、物流条码	7
RFID是通过一种无线电讯号标签识别特定目标的通讯技术。	7
RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；	8
RFID的组成：标签、阅读器	7
装于货架格位上的电子显示装置取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。	9
DBMS是一种操作和管理数据库的大型软件。物流系统中的数据都是通过DBMS管理的。	6
对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动	7
集货、储存、配装、配送运输。	5
将分散的或小批量的物品集中起来，以便进行运输的作业 。	8
有储备及暂存两种形态。 配送储备储备数量较大，储存更加有计划性。暂存按分拣配货要求，在理货场地所做的少量储存准备 。	8
将物品按品种堆放的作业。	5
按订单要求，放置指定地点	3
按客户要求送入指定发货地点。	2
在单个客户配送数量不能达到车辆的有效运载负荷时。	4
配送运输是较短距离、额度较高的运输形式。	6
如何组合成最佳路线，如何使配装和路线有效搭配等，是配送运输的特点	9
仓储是指利用仓库及相关设施设备进行物品的入库、存贮、出库的活动。	10
仓储管理是指对仓储设施布局和设计以及仓储作业所进行的计划、组织、协调和控制。	10
库存是指储存作为今后按预定的目的使用而处于闲置或非生产状态的物品。	10
库存管理是指利用有效的方法和现代的技术手段在保证供应的前提下实现对库存物品数量上的有效控制，进而实现库存物品量的最低化，甚至实现零库存。	10
仓储管理的内容：仓库的选址与建设、仓库机械设备的选择与配置、仓库业务管理、仓库的库存控制管理、人力资源管理	10
仓储管理是围绕着在库“物品”的管理，即对在库“物”的管理。	10
库存控制是对物品的在库“数量”进行控制的管理，即对在库“量”的管理。	10
库存控制是指在保障供应的前提下，使库存物品的数量合理所进行的有效管理的技术经济措施。	10
仓储管理的对象是库存物品，仓储管理是在库物品保管的方法和措施的总和。	10
自营仓库是指由企业或各类组织自营自管，为自身提供储存服务的仓库。	10
公共仓库是指面向社会提供物品储存服务并收取费用的仓库。	10
综合库是用于存放多种不同属性物品的仓库。	10
专业库是用于存放一种或某一大类物品的仓库。	10
普通仓库是用于存放无特殊保管要求的物品的仓库。	10
保温、冷藏、恒湿恒温库是用于存放要求保温、冷藏或恒湿恒温的物品的仓库。	10
危险品仓库是保管危险物品并能对危险品起一定防护作用的仓库	10
气调仓库是用于存放要求控制库内氧气和二氧化碳浓度的物品的仓库。	10
半封闭式仓库：俗称货棚，其保管条件不如库房，但是出入库作业比较方便，且建造成本较低，适宜存放那些对温湿度要求不高且出入库频繁的物品。	10
封闭式仓库：俗称库房，该结构的仓库封闭性强，便于对仓储物进行维护保养，适于存放保管要求比较高的物品。	10
露天式仓库：俗称货场，其最大的优点是装卸作业极其方便，适宜存放较大型的物品。	10
地面型仓库一般是指单层地面库，多实用非货架型的保管设备。	10
货架型仓库指采用多层货架保管的仓库。货架上放着物品和托盘，物品和托盘可在货架上滑动。	10
货架可以分为固定货架和移动货架。	10
自动化立体仓库是指入库采用运送机械存放取出，用堆垛机等设备进行机械化自动化作业的高层货架仓库。	10
将零星物品集中成批量物品称为集货。	10
将大批量运到的物品分成批量较小的物品称为分货。	10
分货中心是主要从事分货工作的物流据点。	10
转运中心的主要工作是承担物品在不同运输方式之间的转运。	10
加工中心的主要工作是进行流通加工。	10
储调中心以储备为主要工作内容，其功能与传统仓库基本一致。	10
配送中心是从事配送业务且具有完善信息网络的场所或组织。	10
物流中心是从事物流活动且具有完善信息网络的场所或组织。	10
根据仓库的主要功能不同可分为：储备库和物流库。	10
储备库主要的功能是储存和保管物资，这也是仓库的最传统、最基本的功能。	10
保税仓库，是指经海关批准设立的专门存放保税货物及其他未办结海关手续货物的仓库。	10
物流节点（logistics nodes）是指物流网络中连接物流线路的结节之处。 	10
广义的物流节点是指所有进行物资中转、集散和储运的节点，包括港口、空港、火车货运站、公路枢纽、大型公共仓库及现代物流（配送）中心、物流园区等。	10
狭义的物流节点仅指现代物流意义的物流（配送）中心、物流园区和配送网点。	10
公用型保税仓库：由主营仓储业务的中国境内独立企业法人经营，专门向社会提供保税仓储服务。	10
自用型保税仓库：由特定的中国境内独立企业法人经营，仅存储供本企业自用的保税货物。	10
专用型保税仓库：保税仓库中专门用来存储具有特定用途或特殊种类商品的仓库。	10
专用型保税仓库包括液体危险品保税仓库、备料保税仓库、寄售维修保税仓库和其他专用型保税仓库。	10
液体危险品保税仓库，是指符合国家关于危险化学品仓储规定的，专门提供石油、成品油或者其它散装液体危险化学品保税仓储服务的保税仓库。	10
备料保税仓库，是指加工贸易企业存储为加工复出口产品所进口的原材料、设备及其零部件的保税仓库，所存保税货物仅限于供应本企业。	10
寄售维修保税仓库，是指专门存储为维修外国产品所进口寄售零配件的保税仓库。	10
自由贸易区 （Free Trade Zone，简称FTZ）是指在贸易和投资等方面比世贸组织有关规定更加优惠的贸易安排；在主权国家或地区的关境以外，划出特定的区域，准许外国商品豁免关税自由进出。	10
自由贸易区：狭义仅指提供区内加工出口所需原料等货物的进口豁免关税的地区，类似出口加工区。广义还包括自由港和转口贸易区。	10
就性质而言自由贸易区可分为：商业自由区和工业自由区。	10
就功能而言，世界自由贸易区可分为以下类型：转口集散型；贸工结合、以贸为主型；出口加工型；保税仓储型。	10
物品出库作业是仓储作业管理的最后一步，也是仓储作业管理的重要环节。	10
物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。	10
物品出库要做到“三不、三核、五检查” 。	10
物品出库时的“三不”指的是：未接单据不翻账，未经审单不备货，未经复核不出库。	10
物品出库时的“三核”指的是：在发货时，要核对凭证、核对账卡、核对实物。	10
物品出库时的“五检查”指的是：对单据和实物要进行品名检查、规格检查、包装检查、数量检查、重量检查。	10
物品出库时，在保证库存物品的价值和使用价值不变的前提下，坚持“先进先出”的原则。	10
出库作业流程包括以下作业环节：出库凭证审核、出库准备、出库验收、出库点交与销账、装载上车、发运、清理等。 	10
物品出库的形式包括：送货、收货人自提、过户 、取样、转仓	10
拣选作业是根据出库信息或订单， 将顾客订购的物品从保管区或拣货区取出，也可以直接在进货过程中取出，并运至配货区的作业过程。 	10
常用的拣选作业主要有两种，单一拣选和批量拣选。	10
补货时机一般有以下三种方式：批次补货、定时补货、随机补货	10
批次补货是指通过计算机查询每天需要的总补货量以及持货区存货量的情况，将补货量一次性补足的方式。	10
补货方式包括：拼/整箱补货、托盘补货、货位补货、其他补货方式（直接补货、复合式补货、自动补货）	10
配货作业的基本流程：分类；配货检查；包装、打捆	10
配货作业的主要形式包括 ：单一配货作业、集中配货作业	10
单一配货作业是指每次只为一个客户进行配货服务。	10
集中配货作业是指同时为多个客户进行配货服务。	10
定量库存控制法也称为订购点法，是以固定订购点和订购批量为基础的一种库存量控制方法。	10
定期库存控制法是以固定的检查和订购周期为基础的一种库存量控制方法。	10
ABC分析法，就是以某类库存物资品种数占物资品种数的百分数和该类物资金额占库存物资总金额的百分数大小为标准，将库存物资分为A、B、C三类，进行分级管理。	10
综合化机械作业，是指利用两种以上工具进行的装卸搬运作业。	10
选择装卸搬运设备的原则有：利用重力的原则； 经济合理的原则；适应性原则；顺畅性原则	10
